Name ,Id ,Number  of  calls ,Min  time ,Max  time ,Average  time
prop_getter ,526 ,10064 ,0.001591 ,0.011448 ,0.000001137519873
assignment ,527 ,10064 ,0.000005 ,0.000266 ,0.000000026430843
division ,531 ,20128 ,0.000001 ,0.000098 ,0.000000004868839
b_and ,533 ,10064 ,0.000007 ,0.000132 ,0.000000013116057
assignment ,534 ,10064 ,0.000001 ,0.000033 ,0.000000003279014
substraction ,535 ,10064 ,0.000002 ,0.000118 ,0.000000011724960
assignment ,536 ,10064 ,0.000003 ,0.000105 ,0.000000010433227
assignment ,537 ,10064 ,0.000001 ,0.000051 ,0.000000005067568
remainder ,538 ,10064 ,0.000002 ,0.000061 ,0.000000006061208
substraction ,539 ,10064 ,0.000001 ,0.000052 ,0.000000005166932
b_shift_left ,540 ,10064 ,0.000001 ,0.000085 ,0.000000008445946
prop_getter ,541 ,10064 ,0.000008 ,0.000436 ,0.000000043322734
b_or ,542 ,10064 ,0.000001 ,0.000081 ,0.000000008048490
prop_setter ,543 ,10064 ,0.000010 ,0.000904 ,0.000000089825119
jmp_down ,544 ,10065 ,0.000009 ,0.000246 ,0.000000024441133
assignment ,545 ,10065 ,0.000003 ,0.000110 ,0.000000010928962
assignment ,546 ,10065 ,0.000001 ,0.000118 ,0.000000011723795
prop_getter ,547 ,10065 ,0.001590 ,0.003930 ,0.000000390461997
multiplication ,548 ,10065 ,0.000002 ,0.000127 ,0.000000012617983
less_than ,549 ,10065 ,0.000002 ,0.000290 ,0.000000028812717
is_true_jmp_up ,550 ,2 ,0.000001 ,0.000008 ,0.000004000000000
func_decl_n ,552 ,1 ,0.000031 ,0.000031 ,0.000031000000000
func_decl_n ,600 ,1 ,0.000046 ,0.000046 ,0.000046000000000
var_decl ,606 ,1 ,0.000006 ,0.000006 ,0.000006000000000
var_decl ,607 ,1 ,0.000006 ,0.000006 ,0.000006000000000
var_decl ,608 ,1 ,0.000004 ,0.000004 ,0.000004000000000
is_false_jmp_down ,612 ,1 ,0.000003 ,0.000003 ,0.000003000000000
assignment ,613 ,1 ,0.000006 ,0.000006 ,0.000006000000000
assignment ,614 ,1 ,0.000001 ,0.000001 ,0.000001000000000
assignment ,615 ,1 ,0.000007 ,0.000007 ,0.000007000000000
assignment ,616 ,1 ,0.000001 ,0.000001 ,0.000001000000000
assignment ,617 ,1 ,0.000006 ,0.000006 ,0.000006000000000
