Name ,Id ,Number  of  calls ,Min  time ,Max  time ,Average  time
assignment ,3 ,1 ,0.000014 ,0.000014 ,0.000014000000000
assignment ,4 ,1 ,0.000016 ,0.000016 ,0.000016000000000
is_true_jmp_up ,5 ,1200000 ,0.000001 ,0.001421 ,0.000000001184167
jmp_down ,6 ,1200001 ,0.000002 ,0.003236 ,0.000000002696664
assignment ,7 ,1200001 ,0.000001 ,0.002462 ,0.000000002051665
assignment ,8 ,1200001 ,0.000005 ,0.002256 ,0.000000001879998
less_than ,9 ,1200001 ,0.000002 ,0.002669 ,0.000000002224165
is_true_jmp_up ,10 ,2 ,0.000001 ,0.000001 ,0.000000500000000
