Name ,Id ,Number  of  calls ,Min  time ,Max  time ,Average  time
assignment ,255 ,2 ,0.000001 ,0.000003 ,0.000001500000000
assignment ,257 ,1 ,0.000003 ,0.000003 ,0.000003000000000
assignment ,260 ,2 ,0.000001 ,0.000003 ,0.000001500000000
assignment ,262 ,1 ,0.000004 ,0.000004 ,0.000004000000000
assignment ,263 ,2 ,0.000000 ,0.000002 ,0.000001000000000
assignment ,265 ,1 ,0.000003 ,0.000003 ,0.000003000000000
assignment ,266 ,2 ,0.000000 ,0.000002 ,0.000001000000000
assignment ,268 ,1 ,0.000003 ,0.000003 ,0.000003000000000
assignment ,269 ,2 ,0.000000 ,0.000003 ,0.000001500000000
assignment ,271 ,1 ,0.000005 ,0.000005 ,0.000005000000000
assignment ,272 ,1 ,0.000001 ,0.000001 ,0.000001000000000
assignment ,273 ,1 ,0.000007 ,0.000007 ,0.000007000000000
assignment ,274 ,1 ,0.000001 ,0.000001 ,0.000001000000000
assignment ,275 ,1 ,0.000006 ,0.000006 ,0.000006000000000
multiplication ,278 ,1 ,0.000009 ,0.000009 ,0.000009000000000
assignment ,279 ,1 ,0.000005 ,0.000005 ,0.000005000000000
multiplication ,280 ,2 ,0.000000 ,0.000001 ,0.000000500000000
meta ,281 ,1 ,0.000000 ,0.000000 ,0.000000000000000
multiplication ,285 ,1 ,0.000007 ,0.000007 ,0.000007000000000
assignment ,286 ,1 ,0.000007 ,0.000007 ,0.000007000000000
multiplication ,287 ,2 ,0.000001 ,0.000001 ,0.000000500000000
meta ,288 ,1 ,0.000001 ,0.000001 ,0.000001000000000
multiplication ,292 ,1 ,0.000007 ,0.000007 ,0.000007000000000
assignment ,293 ,1 ,0.000006 ,0.000006 ,0.000006000000000
multiplication ,294 ,2 ,0.000001 ,0.000002 ,0.000001000000000
meta ,295 ,1 ,0.000000 ,0.000000 ,0.000000000000000
assignment ,297 ,1 ,0.000006 ,0.000006 ,0.000006000000000
assignment ,298 ,1 ,0.000007 ,0.000007 ,0.000007000000000
assignment ,299 ,1 ,0.000005 ,0.000005 ,0.000005000000000
not_equal_value ,300 ,1 ,0.000007 ,0.000007 ,0.000007000000000
is_false_jmp_down ,307 ,2 ,0.000000 ,0.000001 ,0.000000500000000
