Name ,Id ,Number  of  calls ,Min  time ,Max  time ,Average  time
assignment ,1565 ,4000 ,0.000020 ,0.000284 ,0.000000071000000
prop_getter ,1566 ,4000 ,0.000083 ,0.000405 ,0.000000101250000
assignment ,1567 ,4000 ,0.000020 ,0.000157 ,0.000000039250000
prop_getter ,1571 ,4000 ,0.000023 ,0.000175 ,0.000000043750000
assignment ,1572 ,4000 ,0.000020 ,0.000105 ,0.000000026250000
call_n ,1574 ,4000 ,0.000002 ,0.000037 ,0.000000009250000
assignment ,1575 ,4000 ,0.000020 ,0.000094 ,0.000000023500000
addition ,1576 ,8000 ,0.000001 ,0.000031 ,0.000000003875000
jmp_down ,1578 ,4001 ,0.000001 ,0.000045 ,0.000000011247188
assignment ,1579 ,4001 ,0.000002 ,0.000055 ,0.000000013746563
assignment ,1580 ,4001 ,0.000020 ,0.000065 ,0.000000016245939
less_than ,1581 ,4001 ,0.000002 ,0.000081 ,0.000000020244939
is_true_jmp_up ,1582 ,2 ,0.000000 ,0.000001 ,0.000000500000000
